Kend,year,month,day,hour,localHour,dayTime,NMRI,,,,
,21,6,30,7,0,180.00,0.538350224,,,,
31.73643,21,6,30,8,1,180.04,0.588615366,,,,
-109.941989,21,6,30,9,2,180.08,0.574854466,,,,
,21,6,30,10,3,180.13,0.517649658,,,,
,21,6,30,11,4,180.17,0.368217653,,,,
,21,6,30,12,5,180.21,0.510174405,,,,
,21,6,30,13,6,180.25,0.332145298,,,,
,21,6,30,14,7,180.29,0.448424464,,,,
,21,6,30,15,8,180.33,0.330156729,,,,
,21,6,30,16,9,180.38,0.653327245,,,,
,21,6,30,17,10,180.42,0.335076597,,,,
,21,6,30,18,11,180.46,0.555266321,,,,
,21,6,30,19,12,180.50,0.72744049,,,,
,21,6,30,20,13,180.54,0.402013316,,,,
,21,6,30,21,14,180.58,0.300055975,,,,
,21,6,30,22,15,180.63,0.276985034,,,,
,21,6,30,23,16,180.67,0.421926114,,,,
,21,6,30,0,17,180.71,0.389713646,,,,
,21,6,30,1,18,180.75,0.227693849,,,,
,21,6,30,2,19,180.79,0.285688192,,,,
,21,6,30,3,20,180.83,0.494233443,,,,
,21,6,30,4,21,180.88,0.462267853,,,,
,21,6,30,5,22,180.92,0.46882807,,,,
,21,6,30,6,23,180.96,0.415529107,,,,
,21,7,1,7,0,181.00,0.516979731,,,,
,21,7,1,8,1,181.04,0.565382984,,,,
,21,7,1,9,2,181.08,0.566064695,,,,
,21,7,1,10,3,181.13,0.716236154,,,,
,21,7,1,11,4,181.17,0.369217535,,,,
,21,7,1,12,5,181.21,0.452369196,,,,
,21,7,1,13,6,181.25,0.342958402,,,,
,21,7,1,14,7,181.29,0.450478435,,,,
,21,7,1,15,8,181.33,0.324036059,,,,
,21,7,1,16,9,181.38,0.605589206,,,,
,21,7,1,17,10,181.42,0.33137992,,,,
,21,7,1,18,11,181.46,0.553352581,,,,
,21,7,1,19,12,181.50,0.706527811,,,,
,21,7,1,20,13,181.54,0.37336024,,,,
,21,7,1,21,14,181.58,0.222886519,,,,
,21,7,1,22,15,181.63,0.296909616,,,,
,21,7,1,23,16,181.67,0.418630097,,,,
,21,7,1,0,17,181.71,0.369936366,,,,
,21,7,1,1,18,181.75,0.071014023,,,,
,21,7,1,2,19,181.79,0.356136578,,,,
,21,7,1,3,20,181.83,0.487819939,,,,
,21,7,1,4,21,181.88,0.4554749,,,,
,21,7,1,5,22,181.92,0.595032406,,,,
,21,7,1,6,23,181.96,0.431140113,,,,
,21,7,2,7,0,182.00,0.629467358,,,,
,21,7,2,8,1,182.04,0.628741457,,,,
,21,7,2,9,2,182.08,0.651187839,,,,
,21,7,2,10,3,182.13,0.837763375,,,,
,21,7,2,11,4,182.17,0.47725548,,,,
,21,7,2,12,5,182.21,0.476378741,,,,
,21,7,2,13,6,182.25,0.500157318,,,,
,21,7,2,14,7,182.29,0.487415154,,,,
,21,7,2,15,8,182.33,0.345670516,,,,
,21,7,2,16,9,182.38,0.643225312,,,,
,21,7,2,17,10,182.42,0.331470068,,,,
,21,7,2,18,11,182.46,0.579052557,,,,
,21,7,2,19,12,182.50,0.647441079,,,,
,21,7,2,20,13,182.54,0.263935305,,,,
,21,7,2,21,14,182.58,0.420370021,,,,
,21,7,2,22,15,182.63,0.267956634,,,,
,21,7,2,23,16,182.67,0.411077657,,,,
,21,7,2,0,17,182.71,0.514374263,,,,
,21,7,2,1,18,182.75,0.333221188,,,,
,21,7,2,2,19,182.79,0.472943083,,,,
,21,7,2,3,20,182.83,0.575130214,,,,
,21,7,2,4,21,182.88,0.649830309,,,,
,21,7,2,5,22,182.92,0.730788947,,,,
,21,7,2,6,23,182.96,0.562009192,,,,
,21,7,3,7,0,183.00,0.490569173,,,,
,21,7,3,8,1,183.04,0.547426349,,,,
,21,7,3,9,2,183.08,0.639304148,,,,
,21,7,3,10,3,183.13,0.678950035,,,,
,21,7,3,11,4,183.17,0.378675465,,,,
,21,7,3,12,5,183.21,0.295843743,,,,
,21,7,3,13,6,183.25,0.616104761,,,,
,21,7,3,14,7,183.29,0.452565991,,,,
,21,7,3,15,8,183.33,0.282745699,,,,
,21,7,3,16,9,183.38,0.527356234,,,,
,21,7,3,17,10,183.42,0.30591268,,,,
,21,7,3,18,11,183.46,0.628061513,,,,
,21,7,3,19,12,183.50,0.635604525,,,,
,21,7,3,20,13,183.54,0.147617252,,,,
,21,7,3,21,14,183.58,0.516470068,,,,
,21,7,3,22,15,183.63,0.267647301,,,,
,21,7,3,23,16,183.67,0.426169573,,,,
,21,7,3,0,17,183.71,0.375232736,,,,
,21,7,3,1,18,183.75,0.262704454,,,,
,21,7,3,2,19,183.79,0.341376974,,,,
,21,7,3,3,20,183.83,0.423780344,,,,
,21,7,3,4,21,183.88,0.529592859,,,,
,21,7,3,5,22,183.92,0.719205751,,,,
,21,7,3,6,23,183.96,0.478448032,,,,
,21,7,4,7,0,184.00,0.489906905,,,,
,21,7,4,8,1,184.04,0.537696206,,,,
,21,7,4,9,2,184.08,0.669598751,,,,
,21,7,4,10,3,184.13,0.670765378,,,,
,21,7,4,11,4,184.17,0.362722131,,,,
,21,7,4,12,5,184.21,0.308574711,,,,
,21,7,4,13,6,184.25,0.591413505,,,,
,21,7,4,14,7,184.29,0.446862479,,,,
,21,7,4,15,8,184.33,0.283459816,,,,
,21,7,4,16,9,184.38,0.436454749,,,,
,21,7,4,17,10,184.42,0.335754183,,,,
,21,7,4,18,11,184.46,0.672317935,,,,
,21,7,4,19,12,184.50,0.56303382,,,,
,21,7,4,20,13,184.54,0.232508249,,,,
,21,7,4,21,14,184.58,0.48563811,,,,
,21,7,4,22,15,184.63,0.28015555,,,,
,21,7,4,23,16,184.67,0.441962644,,,,
,21,7,4,0,17,184.71,0.369789064,,,,
,21,7,4,1,18,184.75,0.265101343,,,,
,21,7,4,2,19,184.79,0.35543778,,,,
,21,7,4,3,20,184.83,0.420666981,,,,
,21,7,4,4,21,184.88,0.519533349,,,,
,21,7,4,5,22,184.92,0.71859769,,,,
,21,7,4,6,23,184.96,0.488422107,,,,
,21,7,5,7,0,185.00,0.500799552,,,,
,21,7,5,8,1,185.04,0.548845746,,,,
,21,7,5,9,2,185.08,0.650057742,,,,
,21,7,5,10,3,185.13,0.607168277,,,,
,21,7,5,11,4,185.17,0.309978789,,,,
,21,7,5,12,5,185.21,0.266755244,,,,
,21,7,5,13,6,185.25,0.544209286,,,,
,21,7,5,14,7,185.29,0.469598751,,,,
,21,7,5,15,8,185.33,0.269386048,,,,
,21,7,5,16,9,185.38,0.395288122,,,,
,21,7,5,17,10,185.42,0.54938428,,,,
,21,7,5,18,11,185.46,0.742827598,,,,
,21,7,5,19,12,185.50,0.537922461,,,,
,21,7,5,20,13,185.54,0.263334315,,,,
