"Dates","Year","Value","Dataset","Site"
2015-01-01,"2015",0.679907083511353,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-02,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-03,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-04,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-05,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-06,"2015",0.687994956970215,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-07,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-08,"2015",0.690927386283875,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-09,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-10,"2015",0.693610608577728,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-11,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-12,"2015",0.69571590423584,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-13,"2015",0.696520805358887,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-14,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-15,"2015",0.697558283805847,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-16,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-17,"2015",0.698104798793793,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-18,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-19,"2015",0.697349846363068,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-20,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-21,"2015",0.695123612880707,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-22,"2015",0.693437337875366,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-23,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-24,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-25,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-26,"2015",0.685426950454712,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-27,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-28,"2015",0.681087374687195,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-29,"2015",0.678941786289215,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-30,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-01-31,"2015",0.674503326416016,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-01,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-02,"2015",0.670069098472595,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-03,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-04,"2015",0.666460335254669,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-05,"2015",0.665350615978241,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-06,"2015",0.664344072341919,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-07,"2015",0.663491606712341,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-08,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-09,"2015",0.662395060062408,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-10,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-11,"2015",0.662185251712799,"LPDRv3_VOD_ASCENDING_DAY","WKG"
2015-02-12,"2015",NA,"LPDRv3_VOD_ASCENDING_DAY","WKG"
