"Dates","Year","Value","Dataset","Site"
2015-01-01,"2015",0.189999997615814,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-02,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-03,"2015",0.359999984502792,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-04,"2015",0.359999984502792,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-05,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-06,"2015",0.28999999165535,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-07,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-08,"2015",0.409999996423721,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-09,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-10,"2015",0.259999990463257,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-11,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-12,"2015",0.329999983310699,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-13,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-14,"2015",0.359999984502792,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-15,"2015",0.25,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-16,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-17,"2015",0.359999984502792,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-18,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-19,"2015",0.28999999165535,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-20,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-21,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-22,"2015",0.370000004768372,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-23,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-24,"2015",0.389999985694885,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-25,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-26,"2015",0.299999982118607,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-27,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-28,"2015",0.299999982118607,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-29,"2015",0.310000002384186,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-30,"2015",0.439999997615814,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-01-31,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-01,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-02,"2015",0.199999988079071,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-03,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-04,"2015",0.25,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-05,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-06,"2015",0.219999998807907,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-07,"2015",0.299999982118607,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-08,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-09,"2015",0.399999976158142,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-10,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-11,"2015",0.25,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-12,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-13,"2015",0.280000001192093,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-14,"2015",0.299999982118607,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-15,"2015",0.379999995231628,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-16,"2015",0.219999998807907,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-17,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-18,"2015",0.28999999165535,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-19,"2015",NA,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-20,"2015",0.259999990463257,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-21,"2015",0.28999999165535,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
2015-02-22,"2015",0.25,"LPRM_C1_VOD_ASCENDING_DAY","WKG"
