"Dates","Year","Dataset","Var","Site","Period","Area","AggStat","Value"
2021-06-30,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-06-30,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-01,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0312605932768848
2021-07-01,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.00787916700443508
2021-07-02,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-07-02,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-03,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-07-03,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-04,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.020558932550355
2021-07-04,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0114572233048832
2021-07-05,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-07-05,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-06,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-07-06,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-07,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0175195885822177
2021-07-07,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0255338409530881
2021-07-08,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",NA
2021-07-08,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",NA
2021-07-09,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","Mean",0.0656142267915938
2021-07-09,"2021","SMAP_SPL3SMPv005","VOD","WKG","Daytime","LPDR","SD",0.0135242479435715
